date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:02:33	9948/9948	U-----	200	untouched ('')	image/jpeg	date:Sat,%2006%20Oct%202018%2019:32:32%20GMT	https://www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/images/hadoop.jpg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/default/files/groups/High%20Performance%20Information%20Computing%20Center%20(HiPIC)/images/hadoop.jpg	(from https://www.calstatela.edu/centers/hipic/big-data-classes)
13:02:34	32150/32150	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Mar%202022%2020:02:36%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/css/fonts/flexslider-icon.eot	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/css/fonts/flexslider-icon.eot	(from https://www.calstatela.edu/sites/all/themes/custom/calstatela/css/flexslider.css?r9ka0f)
13:02:34	32151/32151	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Mar%202022%2020:02:36%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/css/fonts/flexslider-icon.eot?	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/css/fonts/flexslider-icond41d.eot	(from https://www.calstatela.edu/sites/all/themes/custom/calstatela/css/flexslider.css?r9ka0f)
13:02:35	32152/32152	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Mar%202022%2020:02:37%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/css/fonts/flexslider-icon.woff	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/css/fonts/flexslider-icon.woff	(from https://www.calstatela.edu/sites/all/themes/custom/calstatela/css/flexslider.css?r9ka0f)
13:02:35	32150/32150	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Mar%202022%2020:02:37%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/css/fonts/flexslider-icon.ttf	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/css/fonts/flexslider-icon.ttf	(from https://www.calstatela.edu/sites/all/themes/custom/calstatela/css/flexslider.css?r9ka0f)
13:02:36	32150/32150	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Mar%202022%2020:02:38%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/css/fonts/flexslider-icon.svg	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/css/fonts/flexslider-icon.svg	(from https://www.calstatela.edu/sites/all/themes/custom/calstatela/css/flexslider.css?r9ka0f)
13:02:36	284/284	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jan%202021%2008:29:50%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/images/bkgrndYellowArrow.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/images/bkgrndYellowArrow.png	(from https://www.calstatela.edu/sites/default/files/less/styles.VsQlIIIPa4zfY1LJ_g7cyAz8H8p_OXf3H-gOipNTaoo.css?r9ka0f)
13:02:36	126/126	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jan%202021%2011:18:05%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/images/menu-leaf.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/images/menu-leaf.png	(from https://www.calstatela.edu/sites/default/files/less/styles.VsQlIIIPa4zfY1LJ_g7cyAz8H8p_OXf3H-gOipNTaoo.css?r9ka0f)
13:02:36	105/105	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jan%202021%2008:29:50%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/images/menu-collapsed.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/images/menu-collapsed.png	(from https://www.calstatela.edu/sites/default/files/less/styles.VsQlIIIPa4zfY1LJ_g7cyAz8H8p_OXf3H-gOipNTaoo.css?r9ka0f)
13:02:37	106/106	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jan%202021%2007:17:51%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/images/menu-expanded.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/images/menu-expanded.png	(from https://www.calstatela.edu/sites/default/files/less/styles.VsQlIIIPa4zfY1LJ_g7cyAz8H8p_OXf3H-gOipNTaoo.css?r9ka0f)
13:02:37	535/535	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jan%202021%2011:18:05%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/images/bkgrndArrowOrange.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/images/bkgrndArrowOrange.png	(from https://www.calstatela.edu/sites/default/files/less/styles.VsQlIIIPa4zfY1LJ_g7cyAz8H8p_OXf3H-gOipNTaoo.css?r9ka0f)
13:02:37	284/284	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jan%202021%2007:17:51%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/images/bkgrndBulletArrow.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/images/bkgrndBulletArrow.png	(from https://www.calstatela.edu/sites/default/files/less/styles.VsQlIIIPa4zfY1LJ_g7cyAz8H8p_OXf3H-gOipNTaoo.css?r9ka0f)
13:02:37	8874/8874	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jan%202021%2011:18:05%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/images/ui-icons_256x240.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/images/ui-icons_256x240.png	(from https://www.calstatela.edu/sites/default/files/less/styles.VsQlIIIPa4zfY1LJ_g7cyAz8H8p_OXf3H-gOipNTaoo.css?r9ka0f)
13:02:38	2387/2387	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jan%202021%2007:17:51%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/images/leftright_arrows.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/images/leftright_arrows.png	(from https://www.calstatela.edu/sites/default/files/less/styles.VsQlIIIPa4zfY1LJ_g7cyAz8H8p_OXf3H-gOipNTaoo.css?r9ka0f)
13:02:38	364/364	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jan%202021%2008:29:50%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/images/bkgrndSingleArrowOrange.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/images/bkgrndSingleArrowOrange.png	(from https://www.calstatela.edu/sites/default/files/less/styles.VsQlIIIPa4zfY1LJ_g7cyAz8H8p_OXf3H-gOipNTaoo.css?r9ka0f)
13:02:38	20513/20513	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jan%202021%2008:29:50%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/images/arrow_down.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/images/arrow_down.png	(from https://www.calstatela.edu/sites/default/files/less/styles.VsQlIIIPa4zfY1LJ_g7cyAz8H8p_OXf3H-gOipNTaoo.css?r9ka0f)
13:02:38	8645/8645	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jan%202021%2007:17:51%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/images/ui-icons_fff_256x240.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/images/ui-icons_fff_256x240.png	(from https://www.calstatela.edu/sites/default/files/less/styles.VsQlIIIPa4zfY1LJ_g7cyAz8H8p_OXf3H-gOipNTaoo.css?r9ka0f)
13:02:38	3863/3863	---M--	200	added ('OK')	image/png	date:Mon,%2025%20Jan%202021%2007:17:51%20GMT	https://www.calstatela.edu/sites/all/themes/custom/calstatela/images/bkgrndSliderArrowsWhite.png	D:/isAppsE/calStateLA/dataJ/bigData/materials/bigdai/www.calstatela.edu/sites/all/themes/custom/calstatela/images/bkgrndSliderArrowsWhite.png	(from https://www.calstatela.edu/sites/default/files/less/styles.VsQlIIIPa4zfY1LJ_g7cyAz8H8p_OXf3H-gOipNTaoo.css?r9ka0f)
